	Title	Stars Given	Review	Date Added	Date Read	Book ID	User ID	ISBN	ISBN13
5080293	Shutter Release (Hook, Pick and Lens, #3)	4		Sat, 01 Aug 2020 06:35:38 -0700	Sat, 01 Aug 2020 06:35:38 -0700	44312238	5080293	N/A	N/A
	Title	Stars Given	Review	Date Added	Date Read	Book ID	User ID	ISBN	ISBN13
5080293	Depth of Field (Hook, Pick and Lens, #2)	3		Sat, 01 Aug 2020 06:34:48 -0700	Sat, 01 Aug 2020 06:34:48 -0700	23367281	5080293	N/A	N/A
	Title	Stars Given	Review	Date Added	Date Read	Book ID	User ID	ISBN	ISBN13
5080293	Looking Through the Lens (Hook, Pick and Lens, #1)	3		Sat, 01 Aug 2020 06:34:07 -0700	Sat, 01 Aug 2020 06:34:07 -0700	44299182	5080293	N/A	N/A
	Title	Stars Given	Review	Date Added	Date Read	Book ID	User ID	ISBN	ISBN13
5080293	Vanished (Nick Heller, #1)	2	Uncharismatic main character, card-board characters, bland writing and the less said about his portrayal of female characters and what goes on in their head/what are good qualities the better. 	Sat, 01 Aug 2020 06:32:37 -0700	Sat, 01 Aug 2020 06:32:37 -0700	6346436	5080293	0312379080	9780312379087
